,10,20,50,100,200
"1,w10,h10,min",10,30,42,52,10
"1,w20,h10,min",20,61,82,103,20
"1,w50,h10,min",51,151,201,252,51
"1,w10,h500,min",10,31,42,53,10
"1,w20,h500,min",20,62,82,103,21
"1,w50,h500,min",51,152,201,253,51
"2,w10,h10,min",10,21,10,21,53
"2,w20,h10,min",20,40,20,41,102
"2,w50,h10,min",51,102,50,102,252
"2,w10,h500,min",10,21,11,21,52
"2,w20,h500,min",20,43,21,41,100
"2,w50,h500,min",51,100,50,102,253
"3,w10,h10,min",20,20,20,20,41
"3,w20,h10,min",30,30,31,30,71
"3,w50,h10,min",60,60,60,60,163
"3,w10,h500,min",510,510,511,510,532
"3,w20,h500,min",520,521,521,521,562
"3,w50,h500,min",550,550,550,550,651
,,,,,
,,,,,
,10,20,50,100,200
"1,w10,h10,max",104,208,519,1036,2085
"1,w20,h10,max",204,411,1022,2052,4096
"1,w50,h10,max",505,1012,2522,5046,10095
"1,w10,h500,max",104,209,519,1042,2072
"1,w20,h500,max",204,409,1022,2045,4092
"1,w50,h500,max",505,1010,2519,5043,10092
"2,w10,h10,max",42,61,73,83,93
"2,w20,h10,max",83,124,143,163,184
"2,w50,h10,max",203,302,353,404,455
"2,w10,h500,max",42,62,72,84,94
"2,w20,h500,max",83,123,143,163,184
"2,w50,h500,max",203,302,354,403,453
"3,w10,h10,max",31,42,60,62,156
"3,w20,h10,max",51,72,113,111,297
"3,w50,h10,max",111,162,261,262,718
"3,w10,h500,max",521,530,553,552,645
"3,w20,h500,max",541,563,602,604,786
"3,w50,h500,max",603,651,753,752,1209
,,,,,
,10,20,50,100,200
"1,w10,h10,avg",57.9,129.4,332,548.6,960.5
"1,w20,h10,avg",112.6,255.8,652.1,1081.1,1893.3
"1,w50,h10,avg",278.4,631,1610.2,2664.7,4668.8
"1,w10,h500,avg",57.1,129.8,331.5,549.7,962
"1,w20,h500,avg",111.6,255,652.1,1080.1,1889.2
"1,w50,h500,avg",277.6,631,1609.7,2664.8,4668.1
"2,w10,h10,avg",32.2,39.3,52.9,60.3,74
"2,w20,h10,avg",63.2,77.8,104.3,118.4,145.3
"2,w50,h10,avg",156.8,191.8,257,292.8,358.2
"2,w10,h500,avg",32.2,39.7,53.3,60.2,73.7
"2,w20,h500,avg",63.3,78.3,104.6,119.1,144.9
"2,w50,h500,avg",156.9,191.7,257.8,293.1,358.8
"3,w10,h10,avg",21.8,23.7,35.2,34.4,102.3
"3,w20,h10,avg",32.5,36.9,59.6,57.2,190.7
"3,w50,h10,avg",65.9,76.1,131.2,126.5,454.6
"3,w10,h500,avg",511.9,513.9,525.7,524.5,591.8
"3,w20,h500,avg",523,527.4,549.9,547.6,680.1
"3,w50,h500,avg",556.6,566,621.9,616.3,944.8
,,,,,
,10,20,50,100,200
"1,w20,h500,min",20,62,82,103,21
"2,w20,h500,min",20,43,21,41,100
"3,w20,h500,min",520,521,521,521,562
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,10,20,50,100,200
"1,w20,h500,max",204,409,1022,2045,4092
"2,w20,h500,max",83,123,143,163,184
"3,w20,h500,max",541,563,602,604,786
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,10,20,50,100,200
"1,w20,h500,avg",111.6,255,652.1,1080.1,1889.2
"2,w20,h500,avg",63.3,78.3,104.6,119.1,144.9
"3,w20,h500,avg",523,527.4,549.9,547.6,680.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,10,20,50,100,200
"1,w10,h10,min",10,30,42,52,10
"1,w20,h10,min",20,61,82,103,20
"1,w50,h10,min",51,151,201,252,51
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,10,20,50,100,200
"1,w10,h10,max",104,208,519,1036,2085
"1,w20,h10,max",204,411,1022,2052,4096
"1,w50,h10,max",505,1012,2522,5046,10095
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,10,20,50,100,200
"1,w10,h10,avg",57.9,129.4,332,548.6,960.5
"1,w20,h10,avg",112.6,255.8,652.1,1081.1,1893.3
"1,w50,h10,avg",278.4,631,1610.2,2664.7,4668.8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,10,20,50,100,200
"2,w10,h10,min",10,21,10,21,53
"2,w50,h10,min",51,102,50,102,252
"2,w10,h500,min",10,21,11,21,52
"2,w50,h500,min",51,100,50,102,253
"3,w10,h10,min",20,20,20,20,41
"3,w50,h10,min",60,60,60,60,163
"3,w10,h500,min",510,510,511,510,532
"3,w50,h500,min",550,550,550,550,651
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,10,20,50,100,200
"2,w10,h10,max",42,61,73,83,93
"2,w50,h10,max",203,302,353,404,455
"2,w10,h500,max",42,62,72,84,94
"2,w50,h500,max",203,302,354,403,453
"3,w10,h10,max",31,42,60,62,156
"3,w50,h10,max",111,162,261,262,718
"3,w10,h500,max",521,530,553,552,645
"3,w50,h500,max",603,651,753,752,1209
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,10,20,50,100,200
"2,w10,h10,avg",32.2,39.3,52.9,60.3,74
"2,w50,h10,avg",156.8,191.8,257,292.8,358.2
"2,w10,h500,avg",32.2,39.7,53.3,60.2,73.7
"2,w50,h500,avg",156.9,191.7,257.8,293.1,358.8
"3,w10,h10,avg",21.8,23.7,35.2,34.4,102.3
"3,w50,h10,avg",65.9,76.1,131.2,126.5,454.6
"3,w20,h500,avg",523,527.4,549.9,547.6,680.1
"3,w50,h500,avg",556.6,566,621.9,616.3,944.8
